,Jugador,AccionesDefensivasRealizadas/90,%DuelosDefensivosGanados,%DuelosAereosGanados,Interceptaciones/90,%PrecisionPasesLargos,PasesProgresivos/90,TirosInterceptados/90,GolesCabeza/90,PuntuacionTotal,Equipo,Posicion,Edad,VM,FinContrato,Nacionalidad,Pie,Cedido,PartidosJugados,MinutosJugados,Goles,xG,Asistencias,xA,Duelos/90,%DuelosGanados,Altura,Peso,Duelosdefensivos/90,DuelosAereos90,Entradas/90,PosesionConquistadaPorEntrada,PosesionConquistadaPorIntercepcion,Faltas/90,TarjetasAmarillas,TarjetasAmarillas/90,TarjetasRojas,TarjetasRojas/90,AccionesAtaqueExitosas/90,Goles/90,GolesSinPenalti,GolesSinPenalti/90,xG/90,GolesCabeza,Remates,Remates/90,%TirosAPorteria,%GolesConvertidos,Asistencias/90,Centros/90,%PrecisionCentros,CentrosAreaPequeña/90,Regates/90,%RegatesRealizados,DuelosOfensivos/90,%DuelosOfensivosGanados,ToquesAreaPenalti/90,CarrerasProgresion/90,Aceleraciones/90,PasesRecibidos/90,PasesLargosRecibidos/90,FaltasRecibidas/90,Pases/90,%PrecisionPases,PasesHaciaDelante/90,%PrecisionPasesHaciaAdelante,PasesHaciaAtras/90,%PrecisionPasesHaciaAtras,PasesLaterales/90,%PrecisionPasesLaterales,PasesCorMed90,%PrecisionPasesCorMed,PasesLargos/90,LongitudMediaPases,LongitudMediaPasesLargos,xA/90,Asistencias/90.1,SegundasAsistencias/90,TercerasAsistencias/90,Desmarques/90,%PrecisionDesmarques,JugadasClaves/90,PasesUltimoTercio/90,%PrecisionPasesUltimoTercio,PasesAreaPenalti/90,%PasesAreaPequeña,PasesProfundidad/90,%PrecisionPasesProfundidad,AtaquesProfundidad/90,CentrosUltimoTercio/90,%PrecisionPasesProgresivos,GolesRecibidos,GolesRecibidos/90,RematesContra,RematesContra/90,PorteriasImbatidas,%Paradas,xGEnContra,xGEnContra/90,GolesEvitados,GolesEvitados/90,Salidas/90,DuelosAereosPortero90,TirosLibres/90,TirosLibresDirecto/90,%TirosLibresDirecto,Córneres/90,Penaltis,%PenaltisConvertidos
10,Antonio Raíllo,2.02,2.98,2.36,1.14,0.97,0.58,1.27,0.29,11.61,Fuenlabrada,DFC,38,100000,30/06/2021,Spain,izquierdo,no,14,1284,0,1.22,0,0.18,15.28,66.97,186,79,5.05,5.54,0.49,0.81,7.91,0.91,3,0.21,0,0,0.21,0,0,0,0.09,0,16,1.12,18.75,0,0,0,0,0,0.28,0,1.68,66.67,0.91,0.21,0,22.43,0.42,1.54,36.94,86.53,16.05,78.6,1.68,95.83,17.17,94.29,28.32,92.57,8.83,26.14,43.25,0.01,0.07,0,0,0.14,0,0.07,4.91,62.86,0.14,0,0.28,25,0.21,0,73.02,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0
11,Gorka Pérez,1.88,2.2,2.47,1.47,1.12,0.53,1.5,0,11.17,Atlético Malagueño,DFC,21,1500000,30/06/2023,Spain,derecho,no,17,1314,4,1.4,0,0,14.32,61.72,185,78,5.82,4.11,0.41,0.55,6.4,1.3,5,0.34,0,0,0.41,0.27,4,0.27,0.1,3,7,0.48,71.43,57.143,0,0,0,0,0.21,33.33,1.16,70.59,0.68,0.75,0.34,24.04,0.62,1.03,36.37,85.88,14.18,75.85,3.08,97.78,16.1,91.91,31.3,90.59,5.07,20.42,34.27,0,0,0,0,0,0,0,4.45,67.69,0.27,50,0.14,50,0.21,0,71.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Adrián Diéguez,2.11,2.45,2.21,1.39,1.11,0.6,1.28,0,11.15,UD Logroñés,DFC,25,400000,30/06/2021,Spain,derecho,no,15,1302,0,1,0,0,12.37,59.22,186,78,4.15,4.77,0.41,0.55,6.91,0.83,2,0.14,0,0,0.21,0,0,0,0.07,0,8,0.55,0,0,0,0,0,0,0.21,100,0.97,64.29,0.76,0.76,0.21,25.92,0.28,0.69,38.43,89.93,13.62,76.65,2.7,100,19.08,97.46,32.83,94.11,5.6,22.29,34.75,0,0,0,0,0,0,0,2.9,66.67,0.28,50,0.14,0,0.14,0,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ignasi Miquel,2.2,2.94,2.05,1.53,0.93,0.86,0.6,0,11.11,Fuenlabrada,DFC,24,800000,30/06/2024,Spain,izquierdo,no,15,1146,1,1.15,1,0.07,15.16,62.18,188,69,5.73,4.16,0.47,0.73,7.68,0.79,6,0.47,1,0.08,0.86,0.08,1,0.08,0.09,0,6,0.47,50,16.667,0.08,0.08,0,0.08,0.79,70,2.04,65.38,0.71,0.94,0.71,19.63,0.16,0.55,36.6,87.77,16.18,80.1,2.28,93.1,14.53,95.68,30.71,92.33,5.81,23.96,41.43,0.01,0.08,0,0,0.08,100,0.16,4.95,73.02,0.63,37.5,0.47,50,0.16,0,76.25,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0
14,David Fernández,2.29,2.63,2.42,1.62,1.03,0.61,0.51,0,11.11,Cartagena,DFC,29,300000,30/06/2021,Spain,derecho,no,16,1528,2,0.59,0,0,12.84,62.84,189,78,5.18,4.71,0.35,0.49,6.84,1.65,7,0.41,2,0.12,0.35,0.12,2,0.12,0.03,2,5,0.29,40,40,0,0,0,0,0.12,100,0.41,42.86,0.47,0.53,0.06,22.32,0.12,0.41,33.51,84.71,13.61,69.26,1.12,100,16.96,95.83,29.57,89.64,3.95,22.38,38.4,0,0,0,0,0.18,66.67,0,3.3,55.36,0.24,25,0.35,16.67,0.12,0,65.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Jair Amador,2,2.62,2.32,1.61,0.94,0.53,0.89,0,10.91,Leganés,DFC,28,1000000,30/06/2023,Spain,izquierdo,si,12,1075,0,0.24,0,0.04,15.4,63.04,188,82,5.19,5.11,0,0,8.06,0.92,2,0.17,0,0,0.33,0,0,0,0.02,0,2,0.17,50,0,0,0,0,0,0.67,37.5,1.26,40,0.59,0.67,0.17,27.96,0.33,0.92,43.7,81.99,18.92,67.26,3.1,94.59,19.42,94.83,34.91,88.97,8.79,24.13,39.2,0,0.25,0,0,0,0,0,5.69,51.47,0.59,42.86,0.75,22.22,0.33,0,67.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,N. Šipčić,2.05,2.92,2.68,1.17,1.11,0.57,0.36,0,10.86,Alcorcón,DFC,35,100000,30/06/2021,Spain,derecho,no,20,1907,0,0.23,0,0.85,14.68,63.34,186,77,5.85,4.72,0.05,0.06,7.67,0.85,1,0.05,0,0,0.47,0,0,0,0.01,0,4,0.19,0,0,0,0.42,55.56,0.05,0.33,71.43,1.04,54.55,0.57,0.24,0.09,17.98,0.19,0.42,34.5,83.99,13.07,69.68,3.16,94.03,14.44,94.44,28.69,88.82,5.38,21.67,37.09,0.04,0.47,0,0,0,0,0.05,2.74,62.07,0.57,50,0.14,0,0.05,0.24,64.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Alejandro Sotillos,2.24,2.87,2.14,1.32,1.07,0.56,0.61,0,10.81,Mirandés,DFC,21,600000,30/06/2022,Spain,derecho,si,19,1705,1,1.41,0,0,13.67,59.07,187,72,5.65,4.06,0.16,0.24,8.06,1.69,5,0.26,0,0,0.21,0.05,1,0.05,0.07,1,3,0.16,66.67,33.333,0,0.05,0,0,0.11,100,0.9,58.82,0.32,0.32,0,23.7,0.21,0.69,39.54,83.85,17.1,70.99,2.11,90,17.63,94.91,31.78,90.86,7.71,23.79,42.07,0,0,0,0,0,0,0,4.22,60,0.21,25,0.42,37.5,0,0,66.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,E. Velázquez,2.29,2.7,2.3,1.56,0.56,0.72,0.67,0,10.8,Real Zaragoza,DFC,31,400000,30/06/2022,Portugal,izquierdo,no,10,926,0,0.58,0,0,10.79,54.95,191,80,3.89,4.28,0.19,0.24,7.22,0.68,1,0.1,0,0,0.19,0,0,0,0.06,0,4,0.39,50,0,0,0,0,0,0,0,0.58,16.67,0.87,0.19,0,21.97,0.29,0.1,33.92,86.82,11.57,66.39,2.04,95.24,17.88,98.37,28.77,92.57,5.15,22.87,39.44,0,0,0,0,0,0,0,3.89,47.5,0.29,0,0.29,0,0,0,63.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,José León,2.13,2.95,1.99,1.48,0.91,0.6,0.74,0,10.8,Ponferradina,DFC,22,700000,30/06/2023,Romania,derecho,si,14,1344,1,0.32,0,0.29,9.44,65.25,181,78,3.88,3.08,0.13,0.17,7.56,0.74,1,0.07,0,0,0.54,0.07,1,0.07,0.02,1,1,0.07,100,100,0,0.2,33.33,0,0.4,83.33,0.94,64.29,0.27,0.2,0.13,18.75,0.13,0.33,31.88,83.19,11.25,61.31,3.15,100,15.87,95.78,24.31,94.49,7.37,25.77,42.65,0.02,0.07,0,0,0.07,100,0.07,5.02,52,0.54,25,0.4,33.33,0.07,0.07,70.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Juan Berrocal,2.09,2.39,2.16,1.48,0.95,0.74,0.96,0.24,11.01,Tenerife,DFC,25,300000,30/06/2024,Serbia,derecho,no,15,1366,0,1.16,0,0.05,14.96,68.72,192,87,5.6,5.4,0.4,0.56,5.92,0.92,1,0.07,0,0,0.46,0,0,0,0.08,0,5,0.33,40,0,0,0.07,0,0,0.66,50,1.65,48,0.53,1.38,0.33,28.79,0.53,0.33,41.9,89.31,14.3,77.88,3.69,98.21,20.82,96.52,37.69,92.13,4.15,22.81,40.79,0,0.07,0,0,0.13,0,0,5.2,69.62,0.33,20,0.13,0,0.07,0,76.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,David Andújar,1.97,2.38,2.46,1.37,0.82,0.62,0.96,0.57,11.15,Fuenlabrada,DFC,22,300000,30/06/2022,Spain,derecho,no,12,1051,0,0.09,0,0.66,13.19,65.58,182,73,5.91,3.34,0.51,0.79,7.21,0.77,3,0.26,0,0,0.26,0,0,0,0.01,0,1,0.09,100,0,0,0,0,0,0.26,66.67,1.11,61.54,0.34,0.86,0.43,16.18,0.43,0.77,29.03,84.37,11.22,67.18,3.17,100,12.16,95.07,23.29,89.71,5.74,23.13,35.3,0.06,0.26,0,0,0.09,0,0,2.91,73.53,0.26,33.33,0.09,100,0.09,0,63.24,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0
22,A. Pașcanu,2.01,2.54,2.47,1.65,0.81,0.59,0.49,0.33,10.89,Mallorca,DFC,25,5000000,30/06/2022,Slovakia,derecho,no,15,1426,1,0.22,0,0,8.46,67.16,187,83,3.22,2.59,0,0,6.54,0.57,2,0.13,0,0,0.69,0.06,1,0.06,0.01,1,4,0.25,50,25,0,0.13,0,0,0.5,75,0.95,46.67,0.44,1.83,0.44,27.77,0.32,0.44,42.6,91.41,17.17,84.93,2.59,97.56,19.31,95.75,39,94.82,3.6,20.87,40.56,0,0.06,0,0.06,0.25,75,0,4.67,81.08,0.44,14.29,0.5,37.5,0.25,0.06,71.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,I. Kecojević,2.08,2.73,1.89,1.31,0.97,0.68,0.9,0,10.56,Rayo Vallecano,DFC,26,1000000,30/06/2021,Uruguay,derecho,no,18,1443,0,1.05,0,0,14.59,65.38,184,81,5.74,5.86,0.25,0.41,9.05,1.25,6,0.37,0,0,0.5,0,0,0,0.07,0,7,0.44,14.29,0,0,0.06,100,0,0.31,100,1,81.25,0.44,0.56,0.06,21.33,0.12,0.75,38.05,81.97,15.97,69.53,1.87,96.67,16.65,90.64,32.43,90.38,5.55,21.29,38.58,0,0.06,0,0,0.06,100,0,6.61,59.43,0.44,57.14,0.44,14.29,0.19,0.06,69.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,M. Valjent,1.55,2.82,2.68,1.21,0.99,0.69,0.58,0.29,10.81,Alcorcón,DFC,25,300000,30/06/2021,Spain,izquierdo,no,14,1332,1,1.75,0,0,14.19,61.9,185,82,5.07,5.27,0,0,7.05,0.95,3,0.2,0,0,0.61,0.07,1,0.07,0.12,0,11,0.74,27.27,9.091,0,0.2,66.67,0.07,0.47,57.14,1.01,53.33,1.01,0.2,0,17.3,0.07,0.47,31.49,79.83,12.09,61.45,4.05,98.33,13.38,91.92,24.93,86.72,6.35,25.14,40.47,0,0,0,0,0.07,0,0,4.39,58.46,0.54,37.5,0.2,0,0,0.14,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0
25,Éric Curbelo,2.43,2.17,2.21,1.57,0.89,0.69,0.56,0,10.52,Castellón,DFC,27,500000,30/06/2021,Spain,izquierdo,no,16,1480,1,0.82,0,0,11.37,59.89,190,86,3.59,4.5,0.55,0.79,5.86,0.73,5,0.3,1,0.06,0.12,0.06,1,0.06,0.05,1,8,0.49,12.5,12.5,0,0.06,0,0,0.12,50,0.73,50,0.85,0,0,46.28,0.43,0.73,59.23,91.17,17.82,77.47,1.52,100,34.6,97.54,53.15,94.74,6.02,22.01,42.02,0,0,0,0,0,0,0,4.26,64.29,0.3,0,0.12,0,0.06,0,70.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Álex Pérez,1.76,2.84,2.46,1.17,1.13,0.71,0.43,0,10.5,Almería,DFC,25,1200000,30/06/2024,Serbia,derecho,no,15,1344,1,0.62,1,0,12.05,65,189,79,3.88,5.56,0.07,0.11,7.25,1.07,3,0.2,0,0,0.2,0.07,1,0.07,0.04,1,4,0.27,25,25,0.07,0,0,0,0,0,0.47,57.14,0.4,1.41,0.74,35.63,0.87,0.67,49.55,91.89,23.84,87.36,2.61,100,18.68,97.13,46.41,95.09,3.15,20.54,34.98,0,0,0,0,0.2,66.67,0,6.76,81.19,0.2,33.33,0.33,20,0.07,0,79.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Grego Sierra,2.22,2.31,2,1.36,0.74,0.98,0.87,0,10.48,Castellón,DFC,30,300000,30/06/2021,Spain,izquierdo,no,20,1846,2,0.84,2,0.96,15.8,61.73,187,84,6,3.95,0.1,0.13,6.31,1.07,4,0.2,0,0,1.66,0.1,2,0.1,0.04,2,6,0.29,33.33,33.333,0.1,0.54,27.27,0.05,1.76,72.22,3.46,57.75,0.63,1.12,0.59,36.08,0.34,0.88,50.22,86.31,20.43,74.46,4.39,94.44,18.04,94.59,43.83,92.44,5.85,19.4,41.76,0.05,0.29,0,0,0.2,75,0.15,5.22,57.01,0.63,30.77,0.15,0,0.15,0.15,67.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Rafa Gálvez,1.65,2.63,2.1,1.14,1.04,0.7,1.21,0.29,10.76,Real Oviedo,DFC,31,600000,30/06/2021,Spain,derecho,no,17,1294,2,2.31,0,0,14.61,65.24,182,76,4.8,5.29,0.28,0.44,7.99,0.77,4,0.28,1,0.07,0.9,0.14,2,0.14,0.16,1,13,0.9,53.85,15.385,0,0.14,50,0,0.35,100,1.74,64,1.32,0.83,0.21,22.12,0.28,1.46,37,82.89,15.09,70.97,1.88,100,17.6,92.09,30.32,88.53,6.54,22.06,33.59,0,0.07,0,0,0.21,0,0,5.08,53.42,0.49,28.57,0.21,0,0.07,0.07,71.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,F. Boyomo,2.33,2.67,2.42,1.3,0.99,0.44,0.31,0,10.46,Málaga,DFC,31,500000,30/06/2023,Spain,derecho,no,17,1508,1,0.61,0,0,13.49,61.06,185,79,5.79,4.66,0.12,0.16,6.27,1.31,4,0.24,0,0,0.36,0.06,1,0.06,0.04,1,7,0.42,42.86,14.286,0,0.12,50,0,0.18,66.67,0.9,33.33,0.6,0.18,0.06,26.08,0.24,0.6,40.11,85.71,13.91,72.1,2.81,97.87,20.65,93.35,32.17,91.65,7.82,24.87,42.56,0,0.06,0,0,0,0,0,5.37,62.22,0.36,16.67,0.24,25,0,0.06,71.11,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,100,0,0,0
30,N. Gorosito,1.8,2.89,1.73,1.31,1.02,0.54,1.16,0,10.45,Albacete,DFC,32,200000,30/06/2022,Montenegro,derecho,no,17,1623,0,0.73,0,0.25,12.31,59.91,191,83,5.6,3.66,0.28,0.39,6.61,1.11,6,0.33,1,0.06,0.22,0,0,0,0.04,0,5,0.28,40,0,0,0,0,0,0.17,66.67,0.55,30,0.44,0.5,0.06,19.74,0.39,0.11,33.66,85.83,15.14,76.56,2.05,94.59,14.36,94.59,28.39,91.21,5.27,22.91,37.19,0.01,0.06,0,0,0.06,0,0.06,4.99,57.78,0.39,0,0.22,0,0.06,0,74.22,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0
31,Dani Vivian,2.41,2.48,2.04,1.36,0.83,0.89,0.42,0,10.43,Las Palmas,DFC,26,500000,30/06/2021,Spain,derecho,no,16,1144,0,0.26,0,0.06,17.62,55.36,179,76,7.87,3.78,0.39,0.61,8.62,1.42,5,0.39,0,0,0.87,0,0,0,0.02,0,3,0.24,33.33,0,0,0.71,11.11,0.08,1.18,53.33,3.07,51.28,0.39,0.24,0.16,20.85,1.65,1.34,33.28,78.49,14.95,67.89,3.23,92.68,12.12,90.26,26.98,85.71,5.59,22.96,35.01,0,0.16,0,0,0.31,25,0.08,4.56,50,1.1,21.43,0.47,33.33,0.31,0.08,62.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,N. Maraš,1.6,2.34,2.69,1.24,0.76,0.92,0.85,0.33,10.73,UD Logroñés,DFC,29,400000,30/06/2022,Spain,derecho,no,13,1104,0,0.12,0,0.01,13.37,65.24,191,85,4.57,5.14,0,0,6.12,0.65,0,0,0,0,0.16,0,0,0,0.01,0,3,0.24,0,0,0,0,0,0,0.57,28.57,1.79,40.91,0.57,0.82,0.24,29.92,0.24,0.65,45.41,88.69,14.76,76.24,2.69,100,25.43,94.55,38.4,92.78,7.01,24.47,45.57,0,0.08,0,0,0.08,0,0,6.44,67.09,0.41,40,0.33,50,0.08,0,70.33,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0
33,Alberto Escassi,2.01,2.56,2.09,1.31,1.06,0.77,0.54,0.29,10.63,Sabadell,DFC,27,300000,30/06/2021,Spain,izquierdo,no,15,1300,0,0.42,0,0,16.82,60.91,184,74,7.34,3.81,0.28,0.38,6.56,1.73,5,0.35,1,0.07,0.83,0,0,0,0.03,0,5,0.35,0,0,0,0,0,0,0.76,100,2.49,77.78,0.35,1.66,0.83,34.75,0.28,1.66,50.33,81.29,22.98,66.57,2.22,93.75,20.84,95.68,41.19,89.75,9.14,24.06,41.15,0,0,0,0,0.48,14.29,0.14,8.24,52.1,0.76,9.09,1.25,22.22,0.14,0,68.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
